price,property description,number of bedrooms,number of bathrooms,Location,estate agency
"N32,000,000",Newly Built 2 Bedroom Flat With Open Plan Kitchen,2,2,"Chevron Axis , Lekki Expressway, Lekki",C.E.O Properties
"N32,000,000",Well Built 2 Bedroom Ensuite Flat,2,2,"Chevron , Chevron Drive, Lekki",Ambicorp International Ltd
"N32,000,000",Well built 2 bedroom block of flats,2,2,"Chevron Head Office , Chevron Drive, Lekki",Sure Properties
"N48,000,000",3 Bederoom Flat,3,3,"Osapa London, Osapa, Lekki",
"N40,000,000",3bedroom flat and 2bedroom flat,3,3,"Osapa London Lekki Fully, Osapa, Lekki",Royal Realtors Properties
"N65,000,000",Luxury 2 Bedroom Apartment With Excellent Finishing,2,2,"Axis Apartment, Lekki Phase 1, Lekki",Edgeline Properties
"N45,000,000",Brand New 2 Bedroom Apartment,2,2,"Lekki Phase 1, Lekki",XLHomes
"N55,000,000",2 Bedroomflat,2,2,"Mike Adegbite, Cove 1, Lekki Phase 1, Lekki",
"N60,000,000",2 Bedroom Maisionete At Lekki Phase 1,2,2,"Cove 2, Lekki Phase 1, Lekki",
"N45,000,000",For Sale 3 Bedroom Flat,3,3,"Lekki Ikate Axis Lagos , Ikate Elegushi, Lekki",Quince Realty Limited
"N450,000,000",Price Slash! Newly Built High End 4 Bedrooms Apartment + Pool + Gym Etc @N450m,4,4,"Off Banana Island Road, Ikoyi",Luxury Bargains Market
"N100,000,000",Well Maintained 4 Units Of 3 Bedroom Flats,3,3,"Allen Junction, Allen Avenue, Ikeja",Nobel & Company
"N75,000,000","Luxury 2 Bedroom Apartment Along Banana Island Road, Ikoyi",2,2,"Banana Island Road, Banana Island, Ikoyi",Deluxe Residences Ltd
"N20,000,000",2 Bedroom Luxury Flats For Sale,2,2,"Ilamoye-Isolo, Isolo",FA And Associates
"N75,000,000","Luxury 3 Bedroom Apartment With Boys Quarter Adjoining Eko Atlantic At Oniru, Vi",3,3,"Water Corporation Drive, Oniru, Victoria Island",Deluxe Residences Ltd
"N150,000,000",Blocks of flats for sale,3,3,"Onikoyi Estate, Off Banana Island , Ikoyi",Blessojer Nigeria Limited
"N46,000,000",2&3 bedrooms apartment for sale,2,2,"Lekki Phase1, Lekki Phase 1, Lekki",Loyalty Property
"N130,000,000",Newly Built 3 Bedroom Banana Island Apartments,3,4,"Banana Island, Ikoyi",
"N190,000,000",3 bedroom flat,3,4,"Temple, Ikoyi",Banksome Global Realtors
"N45,000,000",7 units of 3 bedroom flats tastefully finished for sale,3,3,"Chevy View Estate, Chevron., Chevron Drive, Lekki",Lekki Homes and Commercilas
"N50,000,000",Magnificently Finished & Serviced 2 Bedroom Flat with Bq,2,2,"Gated Estate, Not Far From The Road, Ikate Elegushi, Lekki",Spoton Realty and Construction
"N80,000,000",5 bedroom fully detached duplex with BQ,5,5,"Chevron, Chevron Drive, Lekki",Evening Primerose Realty
"N170,000,000",Well Built 3 Bedroom Flat With Bq,3,3,"Banana Island Road, Banana Island, Ikoyi",ITJ Realtors
"N48,000,000",3 Bedroom Flat,3,3,"Osapa London, Osapa, Lekki",Ambicorp International Ltd
"N27,000,000",Two bedroom apartment in Urban Prime four,2,3,"Lagos, Ajah, Abraham Adesanya, Abraham Adesanya, Ajah",
"N180,000,000",Fully Serviced 3 Bedroom Apartment With Bq,3,4,"Banana Island, Ikoyi",Wellpro Development and Real Estate
"N180,000,000",Luxury and fully serviced 3 Bedroom Flat with Bq,3,3,Ikoyi,Loyalty Property
"N170,000,000",3 Bedroom Flat with BQ (Fully Serviced),3,3,"Banana Island, Ikoyi",Jioram Resources
"N62,000,000","Contemporary Built luxury Serviced 3br Apartment, Lekki",3,4,"Marwa , Lekki Phase 1, Lekki",Stephens Aims Real Estate Ltd
"N85,000,000",Units Of 3 Bedroom Luxury Apartment,3,3,"V.I., Victoria Island",Avitro Real Estate and Projects Limited
"N140,000,000",Luxury 4 Bedroom Penthouse Flat With Maids Room,4,4,"Behind Nike Art Gallery Lekki, Ikate Elegushi, Lekki",C.E.O Properties
"N33,000,000",Brand new testfully built 2bedroom apartment for sale,2,2,"Chevron , Chevron Drive, Lekki",Overhplus Properties Limited
"N165,000,000","Luxurious 1,2&3 Bedroom Apartment",2,2,"Eko Atlantic Tower, Victoria Island",Avitro Real Estate and Projects Limited
"N35,000,000",3 Bedroom Apartment With Bq For Sale,3,4,"Cedars Court, Surulere",
"N36,000,000",2 Bedroom Apartments,2,2,"Lekki County, Ikota, Lekki",
"N27,000,000",2 Bedroom Flat For Sale,2,2,"Orchid, Chevron Drive, Lekki",MBA Properties and homes Nig enterprises
"N38,000,000",Classic 2 Bedroom Flat With Pool And Gym,2,2,"Off Pinnock Estate Road, Osapa, Lekki",Avitro Real Estate and Projects Limited
"N160,000,000",3 bedroom flat with a room BQ,3,3,"Banana Island, Ikoyi",ITJ Realtors
"N35,000,000",Units Of 2 And 3 Bedroom Flats,2,2,"Megamond Estate, Ikota, Lekki",De PrinceAccord Nig. Ltd
"N32,000,000",Luxury 2 Bedroom Flat with 24hrs Light in Ikota Lekki,2,2,"Ikota, Lekki",Euneva Properties
"N18,000,000",Exclusive 1 Bedroom Spacious Apartment,1,2,"1 Mins Drive From The Roundabout , Abraham Adesanya, Ajah",Tojek Properties
"N75,000,000","Lovely 3 Bedroom Apartment With A Room Bq , Swimming Pool And Elevator",3,3,"Lekki Phase 1, Lekki",Isi-Jayne Luxury Property
"N27,000,000",PROMO: Luxury 2 Bedroom Spacious Apartment,2,3,"Abraham Adesanya. Exclusive Location , Abraham Adesanya, Ajah",Tojek Properties
"N17,000,000",Cheapest Luxury 2 Bedroom Luxury Apartment Ever,2,3,"Awoyaya. In A Classy Area. , Awoyaya, Ajah",Tojek Properties
"N180,000,000",Luxuriously finished 3 Bedroom Flats in Ikoyi,3,3,"Banana Island Road , Ikoyi",Maxville Investment Inc
"N130,000,000",Luxury 3 Bedroom flats in Ikoyi,3,3,"Banana Island Road , Ikoyi",Maxville Investment Inc
"N130,000,000",Classic 3bedroom apartment in a strategic location,3,3,Ikoyi,Innerworkings Investment Limited
"N128,000,000","Luxurious 3br Serviced Apartment with a Bq, Gym,swimming Pool.",3,4,"Off Banana Island, Ikoyi",Stephens Aims Real Estate Ltd
"N140,000,000",3 Bedroom Flat Penthouse,3,3,"Osborne Phase2, Ikoyi",Elizabeth Han Services Limited
"N45,000,000",Luxury 6 Numbers Of 3 Bedroom Flats,3,3,"Ilasan Off Prince Olanrewaju Elegushi Road, Ikate Elegushi, Lekki",Globak homes
"N130,000,000",Most Affordable Modern Luxury Well Built 3 Bedroom Flat,3,3,"Banana Island Axis, Banana Island, Ikoyi",Icebridge Homes
"N90,000,000",Luxury 3 Bedroom Flat With Bq,3,3,"Lekki Phase 1, Lekki",Elizabeth Han Services Limited
"N33,000,000",New 3 Bedroom Flat Apartment in Surulere With Parking Space for 3 Cars,3,3,"Off Adetunji Road, Aguda , Surulere",Choice Property
"N130,000,000","Luxury Brand New 3 Bedroom Flat for Sale in Abacha Estate, Ikoyi",3,3,"Abacha Estate, Ikoyi",Rosemond Hills Limited
"N85,000,000",3 Bedroom Flat is now available for Sale in Park-view Estate Ikoyi with,3,3,"Parkview Estate, Ikoyi",Rosemond Hills Limited
"N47,000,000",Modern 2 Bedroom Apartment.,2,2,"Lekki Phase 1, Lekki",Luglio Real Estate
"N33,000,000",Newly completed 3 bedroom flat for sale,3,3,"Ikate, Ikate Elegushi, Lekki",F.T.A Global Resources
"N45,000,000",Brand New Contemporary 3 Bedroom Apartment For Sale,3,3,"Ikate, Ikate Elegushi, Lekki",Icebridge Homes
"N40,000,000",Fully Serviced 3 Bedroom Flat With Excellint Finishing,3,3,"Ikate , Ikate Elegushi, Lekki",Icebridge Homes
"N110,000,000",Newly Completed Apartments,3,4,"Park View Estate, Parkview Estate, Ikoyi",
"N180,000,000",Luxury 3 Bedroom Apartment With A Room Bq,3,3,"Banana Island, Ikoyi",XLHomes
"N130,000,000",Luxury 3 Bedroom Apartment With A Room Bq,3,3,"Banana Island, Ikoyi",XLHomes
"N78,000,000",Luxury Brand New 3 Bedroom Flat for Sale in Lekki Phase 1,3,3,"Lekki, Lekki Phase 1, Lekki",Rosemond Hills Limited
"N62,700,000",2 Bedroom Luxury Flat inside Lekki Phase 1,2,2,"In A Serviced Estate In Lekki Phase 1, Lekki Phase 1, Lekki",Jioram Resources
"N90,000,000",Distress vendor,2,3,"Banana Island, Ikoyi",
"N45,000,000",Luxury 2 Bedroom Spacious Apartment. Good For Shortlets. 2nd Lekki Roundabout,2,3,"2Nd Lekki Roundabout , Ikate Elegushi, Lekki",Tojek Properties
"N130,000,000",4 Numbers Of 3 Bedroom Flat,3,3,"Omole Phase 2, Omole, Ikeja",Terminax Union Ltd
"N20,000,000",2 Bedroom Luxury Flats For Sale,2,2,"Ilamoye-Isolo, Isolo",FA And Associates
"N165,000,000",Stylish 3 Bedroom Apartment,3,3,"Banana Island, Ikoyi",Wren Regent Properties Limited
"N65,000,000",Luxury 6 Units of 3 Bedrooms Flats,3,4,"Ilasan, Ikate Elegushi, Lekki",William & Partners
"N28,000,000",3 Bedroom Block Of Flat,3,3,"Adekunle, Yaba",Wellpro Development and Real Estate
"N80,000,000",Serviced 3 Beroom Apartment With Private Elevator,3,3,"Ikate, Ikate Elegushi, Lekki",Cresco Homes and Properties
"N80,000,000",Classic 3 bedroom flat in a strategic location,3,3,"Oniru, Victoria Island",Innerworkings Investment Limited
"N50,000,000",Upscale 1 Bedroom Apartment,1,1,"Lekki, Lekki Phase 1, Lekki",CW Real Estate
"N65,000,000",Newly completed 3 bedroom flat for sale,3,3,"Oniru, Victoria Island",F.T.A Global Resources
"N25,000,000","Units Of 1,2&3 Bedroom Apartments",2,2,"Orchid Road, Chevron Drive, Lekki",Ntonia Properties
"N70,000,000",Luxury 3 Bedroom Apartment with Bq,3,4,"Nike Art Gallery, Lekki Phase 1, Lekki",Space & Sphere
"N53,000,000",Superbly Built 2 & 3 Bedroom Apartment,2,2,"Freedom Way, Lekki Phase 1, Lekki",Yebellz Enterprise
"N68,000,000",Brand New 2Bedroom Flat With A Bq In Lekki Phase 1,2,2,"Lekki, Lekki Phase 1, Lekki",Joshdan Realtors
"N80,000,000",Brand New 3 Bedroom Flat for sale in Lekki Phase 1 Lagos.,3,3,"Lekki Phase 1, Lekki",Rosemond Hills Limited
"N95,000,000",3 Bedroom Apartment,3,3,"Lekki Phase 1, Lekki",Yebellz Enterprise
"N27,000,000",Stunning 2 Bedroom Apartment,2,2,"Abraham Adesanya, Ajah",Real Estate Matchmakers
"N150,000,000",Contemporary Finished 3 Bedroom Flat With Bq,3,3,"Shoreline Estate, Ikoyi",Avitro Real Estate and Projects Limited
"N85,000,000",Waterfront Executive Brand New 3 Bedroom Flat for Sale in Oniru,3,3,"Oniru, Victoria Island",Rosemond Hills Limited
